id1	id2	k_ibd1	k_ibd2	most_probable	probability	degree
15001006	15537009	0.0122	0.0	4th	0.9999971732938535	4th
15001006	15161013	0.0252	0.0	4th	0.9999923981614478	4th
15001006	15037007	0.0079	0.0	4th	0.9999979621636899	4th
15001006	15037003	0.0074	0.0	4th	0.9999980382452544	4th
15001006	15041048	0.0078	0.0	4th	0.9999979776124668	4th
15001006	15369006	0.0047	0.0	4th	0.9999984026064145	4th
15001006	15386002	0.0057	0.0	4th	0.9999982763022446	4th
15001006	15154003	0.0118	0.0	4th	0.9999972580406871	4th
15001006	15166006	0.0057	0.0	4th	0.9999982763022446	4th
15001006	15369003	0.0064	0.0	4th	0.9999981819930485	4th
15001006	15166008	0.0075	0.0	4th	0.9999980232596433	4th
15001006	15537008	0.0131	0.0	4th	0.9999969729131075	4th
15001006	15043015	0.0098	0.0	4th	0.9999976451529489	4th
15001006	15154001	0.0115	0.0	4th	0.9999973199292275	4th
15001006	15386001	0.0055	0.0	4th	0.9999983023377935	4th
15001006	15426001	0.0073	0.0	4th	0.9999980531172602	4th
15001006	15328010	0.0138	0.0	4th	0.9999968072914155	4th
15001006	15003015	0.0069	0.0	4th	0.9999981114863584	4th
15001006	15537020	0.0098	0.0	4th	0.9999976451529489	4th
15001006	15369005	0.0083	0.0	4th	0.999997899179422	4th
15001006	15537022	0.0129	0.0	4th	0.999997018635606	4th
15001006	15197002	0.0037	0.0	4th	0.9999985196556441	4th
15001006	15538001	0.0068	0.0	4th	0.9999981258031266	4th
15001006	15043016	0.0058	0.0	4th	0.9999982631351192	4th
15001006	15001013	0.0187	0.0	4th	0.9999953644645797	4th
15001006	15328007	0.0124	0.0	4th	0.9999971299432023	4th
15001006	15001016	0.0142	0.0	4th	0.9999967086131396	4th
15001006	15297001	0.0137	0.0	4th	0.9999968314952172	4th
15001006	15532007	0.0094	0.0	4th	0.9999977157531146	4th
15001006	15037004	0.0038	0.0	4th	0.9999985083474642	4th
15001006	15551002	0.0199	0.002	4th	0.9999946335245713	4th
15001006	15006027	0.0115	0.0	4th	0.9999973199292275	4th
15001006	15009011	0.0079	0.0	4th	0.9999979621636899	4th
15001006	15328006	0.0116	0.0	4th	0.9999972994565004	4th
15001006	15166005	0.0045	0.0	4th	0.9999984267342084	4th
15001006	15219002	0.0065	0.0	4th	0.9999981681055076	4th
15001006	15297002	0.0104	0.0	4th	0.9999975351403367	4th
15001007	15147003	0.0309	0.0	4th	0.9999882700141745	4th
15001007	15199002	0.0085	0.0	4th	0.9999978669610015	4th
15001007	15040016	0.006	0.0	4th	0.9999982364983544	4th
15001007	15041089	0.0093	0.0	4th	0.9999977330699186	4th
15001007	15386002	0.0101	0.0	4th	0.9999975907744986	4th
